location,link
"Kisumu County
_
_
Guest favorite
Guest favorite
Apartment in Kisumu
KSh 3",https://www.airbnb.com/s/Kisumu-County/homes?place_id=ChIJ3_PD7Z-lKhgR71EwTssPkhY&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=FLEXIBLE_DATES&search_type=HOMEPAGE_CAROUSEL_CLICK
"Mombasa
_
_
Guest favorite
Guest favorite
Apartment in Mombasa
KSh 4",https://www.airbnb.com/s/Mombasa/homes?place_id=ChIJM45ffcMMQBgRLEF4BSSBr7A&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=weekend_trip&date_picker_type=FLEXIBLE_DATES&search_type=HOMEPAGE_CAROUSEL_CLICK
"Kiambu next weekend
_
_
Guest favorite
Guest favorite
Apartment in Ruaka
KSh 7",https://www.airbnb.com/s/Kiambu/homes?place_id=ChIJzzbxsmA2LxgRaR7dqAnEjOY&refinement_paths%5B%5D=%2Fhomes&date_picker_type=CALENDAR&checkin=2025-10-03&checkout=2025-10-05&search_type=HOMEPAGE_CAROUSEL_CLICK
